Course ID,Subject code,Catalog Number,Offering Unit,Course Title,Course Description,Min Units,Max Units,Repeatable for Credit,Total Completions Allowed,Total Units Allowed,Grading Basis,Components,Course Attributes,Enrollment Requirements,Course Requisites
12803,ECON,200,Economics,Basic Economic Issues,"This course explains how economists see the world. Students learn about basic concepts such as opportunity cost, marginal analysis, supply and demand, and some notions from game theory. We explore how individuals, households, businesses, governments, and societies deal with the fundamental problem of scarcity, and how people achieve gains-from-trade or handle conflict. Students will also be exposed to economy-wide statistics and models that help us understand business cycles.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,"GE - T2-INDV (Tier 2 Individuals & Societies), GEAT - QNT (Gen Ed Attr: Quantitative Reas), GEED - EPSOC (Gen Ed: EP Social Scientist)",-,Not available to students who have completed or are enrolled in ECON 201A AND ECON 201B.
26203,ECON,205,Philosophy,The Ethics and Economics of Wealth Creation,"We will study the ethics and the economics of such phenomena as market competition, institutions of private and public property, trade restrictions, globalization, and corporate welfare. How do people create wealth? How do societies enable people to create wealth? Are some ways more ethical than others? Why do some societies grow rich while neighboring societies remain poor? People have various ways of creating wealth. Which are ethical and which are not?  Why? (PHIL 205 is not an introduction to the principles of Economics and is not a substitute for ECON 200, ECON 201A or ECON201B.)",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E","Discussion, Lecture","CE - CL (Cross Listed), GE - T2-INDV (Tier 2 Individuals & Societies), GEAT - WRIT (Gen Ed Attr: Writing), GEED - BC (Gen Ed: Building Connections)",-,2 courses from Tier One - Individuals/Societies.
12812,ECON,291,Economics,Preceptorship,"Specialized work on an individual basis, consisting of instruction and practice in actual service in a department, program, or discipline. Teaching formats may include seminars, in-depth studies, laboratory work and patient study.",1.0,4.0,No,1,4.0,"SPF - Alternative Grading S, P, F",Independent Study,-,-,-
12813,ECON,299,Economics,Independent Study,Qualified students working on an individual basis with professors who have agreed to supervise such work.,2.0,4.0,Yes,99,999.0,"SPF - Alternative Grading S, P, F",Independent Study,-,-,-
12814,ECON,299H,Economics,Honors Independent Study,Qualified students working on an individual basis with professors who have agreed to supervise such work.,1.0,3.0,Yes,99,999.0,"GRD - Regular Grades A, B, C, D, E",Independent Study,HNRS - HCRS (Honors Course),015056,-
12815,ECON,300,Economics,Microeconomic Analysis for Business Decisions,Examination of industrial structure; theory of prices under varying market conditions; applications to business problems.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,015607,"If you have issues enrolling for Summer/Winter Sessions, please send your enrollment request to:  econreg@eller.arizona.edu."
38020,ECON,301,Economics,Microeconomic Analysis and Applications,"The objective of this course is to familiarize you with core microeconomic foundations that will allow you to understand how various economic forces and phenomena emerge, how alternative economic institutions functions to allocate resources, how individuals and enterprises can best position themselves in various types of economic environments, and how government policy and external factors affect economic outcomes and welfare.",3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,016163,-
40934,ECON,303,Economics,Economics of Crime,An introduction to the study of crime and crime-control policies using standard economic techniques.  In this course students will learn to use the Economist's tools to examine the following:  The costs of crime and crime prevention; the behavior of criminals and potential criminals; the markets for crime and criminal behavior and the goods and services that are produced in them; organized crime and key crime issues; and public policies and the need for coordinating criminal justice system.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018017,-
38469,ECON,307,Economics,Economic History of the United States,Economic history of the United States from the colonial era to the present and what affected the changes in the U.S. economy.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,-
38695,ECON,308,Economics,World Economic History,The purpose of the class is to provide students with a firm understanding of the historical development of the economies of different parts of the world and the economy of the world as a whole.,3.0,3.0,No,1,3.0,"GRD - Regular Grades A, B, C, D, E",Lecture,-,018028,-
